;numero_station;cours_d_eau;departement;altitude;annee;TEMP;OXYGENE;NUTRIMENT_AZOTÉS;NUTRIMENT_PHOSPHORÉS;ACIDIFICATION;POLLUANTS_SPÉCIFIQUES;MACROPHYTES;POISSONS;POTENTIEL_ECOLO;CHIM;lat-lon
7397;6106600;RHONE;ARDECHE;102;2012;TBE;TBE;BE;BE;TBE;BE;;;MOY;MAUV;(44.85372086161214, 4.839565972308439)
7407;6106650;RHONE;ARDECHE;100;2012;Ind;BE;BE;BE;TBE;;;;MOY;;(44.81841768405619, 4.822695393958633)
7665;6110150;RHONE;ARDECHE;78;2012;Ind;TBE;TBE;BE;BE;;;;MOY;;(44.71062578583743, 4.768047511050895)
7675;6110400;RHONE;ARDECHE;60;2012;Ind;TBE;BE;BE;BE;BE;;;MOY;MAUV;(44.579075424660644, 4.707772561661819)
7740;6113000;RHONE;ARDECHE;61;2012;TBE;BE;BE;BE;TBE;BE;;;MOY;MAUV;(44.45195624099853, 4.698201719948422)
7396;6106600;RHONE;ARDECHE;102;2013;TBE;TBE;BE;BE;TBE;BE;;;MOY;MAUV;(44.85372086161214, 4.839565972308439)
7406;6106650;RHONE;ARDECHE;100;2013;Ind;BE;BE;BE;TBE;;;;MOY;;(44.81841768405619, 4.822695393958633)
7664;6110150;RHONE;ARDECHE;78;2013;Ind;TBE;TBE;BE;BE;;;;MOY;;(44.71062578583743, 4.768047511050895)
7674;6110400;RHONE;ARDECHE;60;2013;Ind;TBE;BE;BE;BE;BE;;;MOY;MAUV;(44.579075424660644, 4.707772561661819)
7739;6113000;RHONE;ARDECHE;61;2013;TBE;BE;BE;BE;BE;BE;;;MOY;MAUV;(44.45195624099853, 4.698201719948422)
7395;6106600;RHONE;ARDECHE;102;2014;TBE;TBE;BE;BE;TBE;BE;;;MOY;MAUV;(44.85372086161214, 4.839565972308439)
7405;6106650;RHONE;ARDECHE;100;2014;Ind;TBE;BE;BE;TBE;;;;MOY;;(44.81841768405619, 4.822695393958633)
7663;6110150;RHONE;ARDECHE;78;2014;Ind;TBE;TBE;BE;BE;;;;MOY;;(44.71062578583743, 4.768047511050895)
7673;6110400;RHONE;ARDECHE;60;2014;Ind;TBE;BE;BE;BE;BE;;;MOY;MAUV;(44.579075424660644, 4.707772561661819)
7738;6113000;RHONE;ARDECHE;61;2014;TBE;BE;TBE;BE;BE;BE;;;MOY;MAUV;(44.45195624099853, 4.698201719948422)
7394;6106600;RHONE;ARDECHE;102;2015;TBE;TBE;BE;BE;TBE;BE;;;MOY;MAUV;(44.85372086161214, 4.839565972308439)
7404;6106650;RHONE;ARDECHE;100;2015;Ind;TBE;BE;BE;TBE;;;;MOY;;(44.81841768405619, 4.822695393958633)
